Order Date,Region,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit,Year,Month
2020-02-01,East,Furniture,Tables,3,53.49,0.0,160.47,29.51,2020,2020-02
2020-12-30,Central,Office Supplies,Pens,1,47.38,0.05,47.38,5.77,2020,2020-12
2019-05-11,West,Office Supplies,Paper,1,62.58,0.0,56.32,-0.9,2019,2019-05
2020-07-18,West,Office Supplies,Binders,5,243.29,0.0,1094.8,53.35,2020,2020-07
2020-02-05,West,Office Supplies,Pens,1,52.9,0.0,52.9,3.08,2020,2020-02
2020-01-01,West,Technology,Accessories,9,400.74,0.0,3606.66,353.71,2020,2020-01
2019-11-11,Central,Furniture,Tables,4,24.92,0.05,94.7,23.11,2019,2019-11
2017-05-02,West,Office Supplies,Binders,6,151.54,0.1,909.24,155.78,2017,2017-05
2018-04-12,East,Furniture,Chairs,1,114.7,0.05,108.96,7.91,2018,2018-04
2020-05-23,South,Furniture,Tables,5,113.34,0.05,538.36,84.06,2020,2020-05
2017-11-27,South,Technology,Accessories,9,373.24,0.0,3359.16,236.26,2017,2017-11
2017-03-29,South,Office Supplies,Binders,6,116.5,0.0,629.1,131.91,2017,2017-03
2020-10-28,East,Technology,Accessories,7,297.76,0.0,1980.1,252.88,2020,2020-10
2020-01-29,Central,Furniture,Tables,6,31.5,0.05,189.0,27.26,2020,2020-01
2019-05-22,South,Technology,Phones,5,404.73,0.0,2023.65,106.56,2019,2019-05
2017-05-11,South,Office Supplies,Paper,4,190.09,0.05,722.34,141.62,2017,2017-05
2020-08-25,West,Technology,Computers,5,460.71,0.0,2303.55,532.27,2020,2020-08
2019-02-09,East,Furniture,Tables,4,122.5,0.1,490.0,42.42,2019,2019-02
2017-12-10,Central,Furniture,Chairs,2,125.3,0.05,225.54,24.85,2017,2017-12
2020-12-08,South,Office Supplies,Paper,7,94.69,0.0,662.83,138.32,2020,2020-12
2019-03-17,South,Technology,Accessories,6,353.68,0.05,2015.98,474.4,2019,2019-03
2018-01-21,East,Furniture,Bookcases,9,105.1,0.1,898.6,76.34,2018,2018-01
2020-04-30,East,Technology,Phones,5,485.59,0.0,2185.15,402.69,2020,2020-04
2019-08-14,South,Furniture,Bookcases,2,26.96,0.0,53.92,0.23,2019,2019-08
2017-10-04,Central,Furniture,Chairs,5,197.97,0.05,989.85,90.41,2017,2017-10
2020-03-30,East,Office Supplies,Paper,3,229.87,0.0,689.61,122.69,2020,2020-03
2018-04-05,South,Technology,Phones,7,483.41,0.05,3214.68,367.55,2018,2018-04
2020-08-30,West,Office Supplies,Paper,4,58.41,0.0,233.64,16.79,2020,2020-08
2017-01-22,West,Furniture,Bookcases,2,58.33,0.05,110.83,6.55,2017,2017-01
2017-09-10,South,Office Supplies,Binders,6,116.43,0.0,663.65,160.13,2017,2017-09
2019-01-18,East,Technology,Computers,4,407.71,0.05,1304.67,100.98,2019,2019-01
2019-05-07,East,Office Supplies,Binders,9,45.53,0.1,368.79,8.53,2019,2019-05
2018-04-20,Central,Office Supplies,Pens,6,197.05,0.05,1182.3,201.57,2018,2018-04
2019-12-19,Central,Technology,Phones,6,411.34,0.0,2468.04,154.55,2019,2019-12
2018-05-26,West,Office Supplies,Paper,2,106.97,0.1,213.94,17.68,2018,2018-05
2018-12-01,South,Technology,Accessories,6,456.65,0.0,2739.9,680.68,2018,2018-12
2019-09-03,East,Furniture,Bookcases,6,64.91,0.0,350.51,73.38,2019,2019-09
2017-07-09,West,Office Supplies,Binders,5,193.3,0.0,966.5,68.05,2017,2017-07
2019-08-16,West,Technology,Accessories,2,398.0,0.0,756.2,153.48,2019,2019-08
2018-11-18,West,Technology,Accessories,5,465.42,0.0,2327.1,338.93,2018,2018-11
2019-08-16,South,Office Supplies,Paper,4,24.85,0.05,94.43,3.8,2019,2019-08
2018-07-17,South,Office Supplies,Pens,5,88.47,0.0,420.23,54.66,2018,2018-07
2020-06-21,Central,Technology,Computers,9,301.54,0.0,2713.86,555.52,2020,2020-06
2019-04-12,Central,Furniture,Bookcases,4,79.17,0.0,253.34,43.91,2019,2019-04
2020-02-29,South,Office Supplies,Binders,2,9.35,0.0,18.7,-2.52,2020,2020-02
2018-10-09,East,Office Supplies,Paper,7,82.02,0.05,574.14,78.98,2018,2018-10
2017-01-21,East,Furniture,Tables,8,18.31,0.0,146.48,14.39,2017,2017-01
2019-04-21,South,Office Supplies,Paper,1,114.67,0.0,114.67,6.15,2019,2019-04
2017-06-16,Central,Office Supplies,Binders,2,84.22,0.2,168.44,23.9,2017,2017-06
2020-07-21,Central,Office Supplies,Paper,9,64.4,0.0,521.64,110.47,2020,2020-07
2018-01-23,Central,Technology,Phones,7,459.37,0.0,3054.81,517.83,2018,2018-01
2018-08-24,South,Office Supplies,Paper,5,123.94,0.05,619.7,25.7,2018,2018-08
2017-11-12,Central,Office Supplies,Pens,1,7.77,0.05,7.77,-8.41,2017,2017-11
2017-01-14,West,Office Supplies,Binders,5,22.27,0.0,105.78,16.46,2017,2017-01
2017-08-30,South,Office Supplies,Paper,8,148.57,0.0,1188.56,108.32,2017,2017-08
2019-02-16,West,Office Supplies,Paper,9,204.89,0.0,1844.01,102.67,2019,2019-02
2020-10-01,Central,Office Supplies,Pens,2,216.45,0.0,411.25,82.33,2020,2020-10
2018-07-19,South,Office Supplies,Binders,9,243.94,0.05,2195.46,294.49,2018,2018-07
2019-06-17,Central,Technology,Accessories,5,396.33,0.1,1981.65,487.41,2019,2019-06
2020-09-25,Central,Technology,Phones,9,563.44,0.0,5070.96,893.65,2020,2020-09
2017-04-02,South,Technology,Accessories,7,316.9,0.0,2218.3,542.77,2017,2017-04
2020-10-22,West,Technology,Accessories,5,440.23,0.0,2091.09,436.57,2020,2020-10
2019-08-14,East,Office Supplies,Paper,5,119.26,0.0,596.3,97.2,2019,2019-08
2020-12-22,Central,Furniture,Bookcases,5,308.13,0.05,1540.65,219.25,2020,2020-12
2018-05-24,Central,Technology,Computers,2,420.85,0.05,799.62,128.49,2018,2018-05
2019-02-15,Central,Office Supplies,Paper,4,12.04,0.1,48.16,4.74,2019,2019-02
2017-02-04,East,Office Supplies,Paper,5,15.99,0.2,79.95,-1.12,2017,2017-02
2017-07-25,Central,Office Supplies,Paper,4,11.5,0.0,43.7,-0.92,2017,2017-07
2020-01-10,West,Office Supplies,Pens,6,68.48,0.0,410.88,43.61,2020,2020-01
2020-11-12,Central,Furniture,Bookcases,7,67.05,0.0,445.88,22.0,2020,2020-11
2019-10-23,West,Furniture,Tables,3,86.39,0.1,246.21,37.16,2019,2019-10
2019-10-19,Central,Furniture,Bookcases,7,63.74,0.0,423.87,31.19,2019,2019-10
2020-11-14,South,Furniture,Tables,9,115.19,0.0,1036.71,173.74,2020,2020-11
2018-07-20,Central,Office Supplies,Binders,7,146.14,0.0,1022.98,171.4,2018,2018-07
2020-02-04,West,Technology,Computers,1,534.96,0.1,508.21,109.9,2020,2020-02
2018-12-04,East,Office Supplies,Binders,3,233.92,0.0,701.76,99.89,2018,2018-12
2018-02-06,East,Technology,Accessories,4,407.99,0.05,1631.96,95.29,2018,2018-02
2018-12-31,Central,Office Supplies,Pens,8,111.68,0.0,893.44,42.07,2018,2018-12
2017-06-11,South,Office Supplies,Pens,8,94.68,0.0,757.44,160.85,2017,2017-06
2017-07-21,Central,Furniture,Tables,2,119.62,0.0,215.32,11.76,2017,2017-07
2019-09-23,South,Office Supplies,Pens,2,128.1,0.0,256.2,58.01,2019,2019-09
2017-09-27,West,Office Supplies,Binders,5,235.19,0.05,940.76,85.3,2017,2017-09
2019-03-27,South,Office Supplies,Paper,3,106.4,0.05,319.2,18.24,2019,2019-03
2020-07-18,South,Office Supplies,Paper,6,127.83,0.0,766.98,118.64,2020,2020-07
2018-04-01,West,Office Supplies,Pens,7,130.36,0.0,912.52,129.27,2018,2018-04
2020-06-29,Central,Office Supplies,Binders,9,244.92,0.05,2094.07,288.32,2020,2020-06
2019-10-14,Central,Furniture,Tables,6,85.37,0.1,512.22,96.16,2019,2019-10
2017-10-23,Central,Furniture,Chairs,6,209.99,0.1,1259.94,84.81,2017,2017-10
2018-12-21,West,Technology,Computers,9,526.61,0.0,4739.49,755.7,2018,2018-12
2017-12-04,Central,Office Supplies,Binders,3,130.39,0.0,391.17,70.94,2017,2017-12
2019-05-29,South,Office Supplies,Paper,8,201.65,0.0,1613.2,181.44,2019,2019-05
2019-12-13,East,Technology,Accessories,4,343.42,0.0,1373.68,104.3,2019,2019-12
2019-03-03,Central,Technology,Computers,6,373.22,0.0,2239.32,502.35,2019,2019-03
2017-08-05,East,Technology,Accessories,3,367.71,0.0,992.82,204.21,2017,2017-08
2019-02-03,South,Technology,Phones,5,491.9,0.05,2459.5,546.8,2019,2019-02
2017-07-07,West,Office Supplies,Paper,3,214.59,0.0,643.77,119.81,2017,2017-07
2018-01-15,West,Office Supplies,Pens,9,113.48,0.1,970.25,99.51,2018,2018-01
2018-05-08,West,Furniture,Bookcases,8,205.41,0.0,1643.28,349.37,2018,2018-05
2019-12-01,East,Technology,Accessories,1,354.78,0.05,354.78,44.69,2019,2019-12
2020-03-26,West,Office Supplies,Binders,5,67.14,0.05,302.13,56.09,2020,2020-03
2017-01-15,East,Office Supplies,Binders,3,62.83,0.1,188.49,41.68,2017,2017-01
2017-03-06,South,Office Supplies,Pens,4,116.09,0.0,417.92,28.91,2017,2017-03
2018-06-05,West,Office Supplies,Paper,4,157.89,0.1,599.98,61.23,2018,2018-06
2020-09-29,South,Office Supplies,Pens,2,153.4,0.0,306.8,43.59,2020,2020-09
2020-02-27,South,Office Supplies,Binders,4,96.05,0.1,384.2,88.46,2020,2020-02
2018-10-10,South,Office Supplies,Pens,3,75.76,0.05,204.55,0.96,2018,2018-10
2019-12-23,West,Furniture,Tables,3,129.38,0.0,388.14,38.18,2019,2019-12
2020-03-08,West,Office Supplies,Pens,3,247.05,0.0,741.15,145.3,2020,2020-03
2018-08-16,West,Technology,Accessories,6,391.64,0.0,2232.35,117.1,2018,2018-08
2018-01-27,South,Technology,Phones,5,386.49,0.0,1932.45,407.94,2018,2018-01
2018-02-23,West,Technology,Phones,9,478.02,0.05,3871.96,636.37,2018,2018-02
2017-10-16,Central,Office Supplies,Binders,9,140.09,0.05,1260.81,99.6,2017,2017-10
2018-01-14,West,Furniture,Bookcases,3,106.03,0.2,318.09,40.37,2018,2018-01
2017-08-19,South,Office Supplies,Binders,7,28.16,0.0,157.7,11.37,2017,2017-08
2019-10-15,West,Office Supplies,Paper,6,82.38,0.0,494.28,85.09,2019,2019-10
2017-02-10,East,Furniture,Bookcases,1,65.43,0.1,65.43,-3.86,2017,2017-02
2019-11-18,West,Office Supplies,Pens,5,138.41,0.1,692.05,163.57,2019,2019-11
2017-05-15,Central,Office Supplies,Paper,5,318.47,0.0,1592.35,241.21,2017,2017-05
2017-07-20,South,Furniture,Chairs,1,218.45,0.05,196.6,36.21,2017,2017-07
2019-02-19,East,Office Supplies,Paper,7,43.25,0.05,242.2,47.05,2019,2019-02
2019-07-19,South,Office Supplies,Paper,7,165.49,0.0,1042.59,190.31,2019,2019-07
2019-11-23,West,Office Supplies,Paper,3,3.6,0.05,10.8,-7.43,2019,2019-11
2019-12-08,South,Furniture,Tables,2,75.9,0.0,144.21,28.58,2019,2019-12
2018-05-18,West,Furniture,Chairs,9,74.61,0.0,671.49,73.2,2018,2018-05
2018-02-11,West,Office Supplies,Paper,1,86.03,0.05,77.43,4.92,2018,2018-02
2019-03-16,West,Office Supplies,Pens,7,18.8,0.0,131.6,24.26,2019,2019-03
2017-04-09,South,Technology,Computers,9,254.46,0.0,2290.14,284.51,2017,2017-04
2018-11-15,East,Office Supplies,Pens,8,44.55,0.1,356.4,63.85,2018,2018-11
2018-12-27,West,Office Supplies,Pens,2,13.01,0.0,26.02,3.43,2018,2018-12
2019-08-19,Central,Technology,Accessories,4,497.07,0.05,1988.28,311.98,2019,2019-08
2018-09-05,East,Office Supplies,Paper,8,102.24,0.0,817.92,52.14,2018,2018-09
2018-10-05,South,Office Supplies,Binders,2,133.45,0.0,266.9,21.2,2018,2018-10
2019-10-26,West,Technology,Phones,5,190.1,0.0,760.4,120.96,2019,2019-10
2020-05-26,West,Technology,Phones,6,302.35,0.0,1814.1,146.63,2020,2020-05
2018-05-18,South,Office Supplies,Paper,7,44.08,0.0,308.56,27.44,2018,2018-05
2019-02-06,Central,Furniture,Bookcases,7,56.59,0.0,396.13,22.9,2019,2019-02
2018-02-02,East,Office Supplies,Pens,4,123.35,0.05,493.4,85.92,2018,2018-02
2019-05-21,West,Office Supplies,Paper,5,171.96,0.1,859.8,72.15,2019,2019-05
2019-03-06,South,Technology,Phones,6,424.64,0.1,2547.84,532.1,2019,2019-03
2018-01-28,South,Technology,Phones,3,368.67,0.0,1106.01,71.02,2018,2018-01
2017-07-26,South,Office Supplies,Binders,1,45.19,0.0,42.93,0.03,2017,2017-07
2019-11-05,South,Technology,Accessories,2,554.91,0.0,1109.82,179.14,2019,2019-11
2019-06-11,West,Technology,Computers,8,384.41,0.0,2767.75,622.76,2019,2019-06
2019-05-14,West,Office Supplies,Paper,7,190.7,0.0,1334.9,194.05,2019,2019-05
2019-01-13,East,Technology,Accessories,5,491.63,0.05,2458.15,226.5,2019,2019-01
2020-06-18,Central,Technology,Accessories,1,357.48,0.05,357.48,8.04,2020,2020-06
2018-07-18,South,Technology,Phones,5,437.34,0.0,1968.03,363.94,2018,2018-07
2019-10-18,East,Furniture,Chairs,4,138.88,0.0,555.52,25.11,2019,2019-10
2017-04-06,West,Furniture,Bookcases,2,131.25,0.0,262.5,52.33,2017,2017-04
2018-04-30,Central,Office Supplies,Paper,2,163.43,0.0,326.86,63.87,2018,2018-04
2020-12-01,West,Office Supplies,Binders,7,23.26,0.0,154.68,38.02,2020,2020-12
2017-08-19,East,Office Supplies,Paper,1,89.4,0.0,84.93,13.97,2017,2017-08
2019-01-19,East,Furniture,Chairs,2,167.47,0.0,301.45,38.38,2019,2019-01
2020-04-09,Central,Technology,Accessories,7,444.76,0.05,3113.32,699.85,2020,2020-04
2018-06-25,South,Office Supplies,Paper,9,100.02,0.1,900.18,89.73,2018,2018-06
2019-11-26,East,Furniture,Bookcases,5,99.26,0.1,446.67,19.72,2019,2019-11
2018-06-09,South,Office Supplies,Paper,2,182.19,0.0,327.94,44.85,2018,2018-06
2020-03-29,West,Technology,Computers,1,346.9,0.1,329.55,49.02,2020,2020-03
2020-06-20,East,Technology,Computers,7,444.01,0.2,3108.07,318.49,2020,2020-06
2020-01-15,West,Technology,Accessories,5,371.2,0.0,1856.0,328.27,2020,2020-01
2018-08-01,Central,Office Supplies,Pens,9,20.3,0.0,173.56,35.43,2018,2018-08
2018-11-13,West,Technology,Accessories,4,395.08,0.1,1422.29,131.42,2018,2018-11
2018-07-11,West,Technology,Accessories,4,477.68,0.0,1910.72,137.74,2018,2018-07
2019-10-10,Central,Technology,Accessories,5,528.18,0.1,2508.85,360.35,2019,2019-10
2018-10-08,West,Office Supplies,Pens,9,141.15,0.0,1270.35,83.89,2018,2018-10
2019-03-07,East,Office Supplies,Binders,1,147.18,0.05,147.18,19.53,2019,2019-03
2019-11-18,Central,Office Supplies,Binders,8,149.36,0.0,1194.88,154.77,2019,2019-11
2020-09-25,West,Technology,Computers,8,429.39,0.0,3435.12,755.62,2020,2020-09
2020-09-16,West,Technology,Accessories,2,379.12,0.0,758.24,79.75,2020,2020-09
2020-10-03,Central,Office Supplies,Binders,5,3.02,0.05,14.34,-6.49,2020,2020-10
2020-06-08,South,Furniture,Bookcases,9,25.25,0.0,227.25,52.24,2020,2020-06
2017-07-09,South,Office Supplies,Paper,7,46.7,0.0,310.56,51.69,2017,2017-07
